Facility Id|Facility Name|City|State|Zip Code|Address|Latitude|Longitude|Total reported direct emissions|CO2 emissions (non-biogenic) |Methane (CH4) emissions |Nitrous Oxide (N2O) emissions |Stationary Combustion|Electricity Generation
1004377|121 REGIONAL DISPOSAL FACILITY|MELISSA|TX|75454|3820 SAM RAYBURN HIGHWAY|33.29857|-96.53586|653854||653854|||
1010040|15-18565/15-18662|Hazard|KY|40701|1021 Tori Drive|37.274127|-83.239034|125981.75||125981.75|||
1010085|15-19015|Hazard|KY|41701|1845 S. KY HWY 15|37.236617|-83.18126|93918.75||93918.75|||
1000112|23rd and 3rd|BROOKLYN|NY|11232|730 3rd Avenue|40.663|-74|70705.288|70633.5|32.75|39.038|250.1|70455.188
1003742|31st Street Landfill|WESTCHESTER|IL|60154|11700 W 31ST ST|41.834962|-87.916392|31220.15|168.4|31051.75||168.4|
1003188|3M BROWNWOOD|BROWNWOOD|TX|76801|4501 HIGHWAY 377 SOUTH|31.671177|-98.996513|34432.42|34396.8|16.25|19.37|34265.42|
1005043|3M CO|MAPLEWOOD|MN|55144||44.951|-92.9959|104995.534|104883.3|50.25|61.984|104995.534|
1003739|3M CO - GUIN|GUIN|AL|35563|6675 US HIGHWAY 43|33.96548|-87.89936|28622.296|28593.8|13|15.496|27795.896|
1007698|3M CO - WAUSAU DOWNTOWN|WAUSAU|WI|54401|144 ROSECRANS ST|44.95018|-89.63766|40427.048|40385.4|19|22.648|40427.048|
1004206|3M COMPANY|DECATUR|AL|35609|1400 STATE DOCKS RD.|34.64179|-87.033608|48998.48307|46293.6|22|26.224|46341.824|
1006665|3M CORDOVA|CORDOVA|IL|61242|22614 ROUTE 84 NORTH|41.755|-90.284167|723397.9932|29758.8|14.25|17.88|29790.93|
1004836|3M Cottage Grove Center - Site|Cottage Grove|MN|55016|10746 Innovation Rd|44.789444|-92.908333|62458.54613|31053.7|20|49.468|30164.568|
1003408|3M INDUSTRIAL MINERAL PRODUCTS DIVISION|LITTLE ROCK|AR|72206|3110 WALTERS DRIVE|34.70537|-92.24607|25541.604|25515.3|12|14.304|25541.604|
1004914|3M MAGNETIC TAPE MANUFACTURING DIVISION|HUTCHINSON|MN|55350|905-915 ADAMS STREET SOUTHEAST|44.879677|-94.359598|38917.952|38877.4|18.5|22.052|38917.952|
1004804|3M NEVADA PLANT|NEVADA|MO|64772|2120 E. AUSTIN|37.834476|-94.330625|33196.276|33162.3|15.5|18.476|33196.276|
1013282|3M Pittsboro|Moncure|NC|27559|4191 Hwy 87 South|35.660546|-79.176782|25848.452|25821.6|12.25|14.602|25848.452|
1007408|4 West Mine|Dilliner|PA|15327|625 Bald Hill Church Road|39.75537|-80.003499|27813.5||27813.5|||
1001106|48th Street Peaking Station|HOLLAND|MI|49423|491 E 48TH ST|42.7553|-86.0853|32159.832|32127.5|14.75|17.582|68.5|32091.332
1004680|58TH ST LF (MAIN COUNTY LF)|MIAMI|FL|33178|8831 NW 58TH ST|25.83301|-80.3465|71586.5||71586.5|||
1000766|59th Street|NEW YORK|NY|10019|850 12TH AVE|40.7711|-73.9911|260405.936|260083.1|134.5|188.336|260405.936|
1007733|69TH ST WWTP|HOUSTON|TX|77020|2525 SSGT MACARIO GARCIA DR|29.75579|-95.29791|21834.068|21811.6|10.25|12.218|21834.068|
1000767|74th Street|NEW YORK|NY|10021|506 E 75TH ST|40.768|-73.9515|270795.33|270459.4|139.25|196.68|270795.33|
1001033|A B Brown Generating Station|MOUNT VERNON|IN|47620|8511 WELBORN ROAD|37.9053|-87.715|2741626.714|2719836.8|7972.25|13817.664||2741626.714
1012058|A.C.M.S., Inc.|Lake Panasoffkee|FL|33538|835 CR 529|28.743151|-82.091653|95999||95999|||
1002983|ABBOTT PARK FACILITY|ABBOTT PARK|IL|60064|100 ABBOTT PARK RD|42.30227|-87.89065|54787.244|54730.8|25.75|30.694|54787.244|
1007514|ABBVIE LTD.|BARCELONETA|PR|00617|RD 2 KM 58.0|18.433237|-66.570509|86045.7|85769.5|82.5|193.7|86045.7|
1004511|ABC COKE|TARRANT|AL|35217|ONE RAILROAD AVENUE|33.580769|-86.781281|176844.078|176691.5|45|107.578|162352.612|
1005353|ABERDEEN ENERGY LLC|MINA|SD|57451|13435 370TH AVENUE|45.442417|-98.787139|194354.968|194154.4|91.5|109.068|194354.968|
1006971|ABERDEEN PROVING GROUND-Aberdeen Area & Edgewood Area|APG|MD|21005|4304 Susquehanna Ave|39.481881|-76.137166|106920.024|106766.5|60.25|93.274|106920.024|
1002627|ABSOLUTE ENERGY LLC|ST ANSGAR (MONA)|IA|50472|1372 STATELINE ROAD|43.49951|-92.91709|170171.848|169932.7|142|97.148|170110.598|
1006529|ACADIA PARISH POLICE JURY - ACADIA PARISH SANITARY LANDFILL|EGAN|LA|70531|611 PETAL RD|30.256038|-92.532637|53049.5||53049.5|||
1004761|ACE ETHANOL LLC|STANLEY|WI|54768|815 WEST MAPLE STREET|44.9589|-90.9608|73526.124|73450.5|34.5|41.124|73526.124|
1005601|ACME BRICK CO ELGIN PLANT|ELGIN|TX|78621|1776 OLD MCDADE RD|30.32903|-97.29207|27772.696|27744.2|13|15.496|27772.696|
1005046|ACME GYPSUM FACILITY|QUANAH|TX|79252|4164 HIGHWAY 285|34.323944|-99.818194|38344.156|38304.7|18|21.456|38344.156|
1002731|ADA COGENERATION|ADA|MI|49355|7575 FULTON STREET EAST|42.929287|-85.431127|100988.82|100884.7|47.5|56.62|100988.82|
1003752|ADA Carbon Solutions (Red River), LLC|Coushatta|LA|71019|201 Red River Mine Road|32.005411|-93.387823|197306.896|197305.8|0.5|0.596|197306.896|
1003422|ADKINS ENERGY LLC|LENA|IL|61048|4350 WEST GALENA ROAD|42.3586|-89.80342|84644.032|84556.9|39.75|47.382|84644.032|
1002154|ADM - MANKATO|MANKATO|MN|56001|2019 3RD AVENUE|44.186805|-93.995493|129574.91|128762.6|299.75|512.56|129574.91|
1006208|ADM CORN PROCESSING|CLINTON|IA|52732|1251 BEAVER CHANNEL PARKWAY|41.8196|-90.2122|2089938.928|2073794.2|6128.65|10016.078|2089648.028|
1006047|ADM CORN PROCESSING|CEDAR RAPIDS|IA|52404|1350 WACONIA AVENUE SOUTHWEST|41.9192|-91.6862|3008750.946|2989848.2|8047.5|10855.246|3007055.196|
1010610|ADM Deerfield|Deerfield|MO|64741|17700 South Highway T|37.80725|-94.585301|34751.42|34715.8|16.25|19.37|34751.42|
1011855|ADM Fostoria|Fostoria|OH|44830|608 FINDLAY ROAD|41.1494|-83.43295|28360.844|28331.8|13.25|15.794|28360.844|
1000376|ADM QUINCY|QUINCY|IL|62305|2100 GARDNER EXPRESSWAY|39.903884|-91.410552|102194.748|102073.9|53.5|67.348|102194.748|
1006080|ADM SOUTHERN CELLULOSE PROD.IN|CHATTANOOGA|TN|37410|103 W 45TH ST|34.997921|-85.318581|31847.27|31812.4|15.5|19.37|31847.27|
1000034|ADM SOYBEAN PROCESSING - DES MOINES|DES MOINES|IA|50313|1935 EAST EUCLID AVENUE|41.626329|-93.583205|155623.274|154511.1|408|704.174|155623.274|
1011961|ADM Valdosta|Valdosta|GA|31601|1841 Clay Road|30.8325|-83.248056|38005.366|37054.4|148.75|802.216|38005.366|
1001991|ADRIAN LANDFILL|ADRIAN|MI|49221|1970 N OGDEN HWY|41.885177|-84.059029|7499.75||7499.75|||
1001633|ADS-CEDAR HILL LANDFILL|RAGLAND|AL|35131|1319 NO BUSINESS CREEK ROAD|33.6845|-86.2525|94485.658||94464.5|21.158|30.158|
1001636|ADS-PECAN ROW-EVERGREEN LANDFILLS|VALDOSTA|GA|31601|2995 WETHERINGTON LANE|30.81425|-83.35981|309782||309782|||
1006790|ADS-STAR RIDGE LANDFILL|MOODY|AL|35004|3301 ACMAR ROAD|33.607092|-86.507602|143100.5||143100.5|||
