Facility Id|Facility Name|City|State|Zip Code|Address|Latitude|Longitude|Total reported direct emissions|CO2 emissions (non-biogenic) |Methane (CH4) emissions |Nitrous Oxide (N2O) emissions |Stationary Combustion|Electricity Generation
1001908|APACHE NITROGEN PRODUCTS - PLANT|St. David|AZ|85630|1436 SOUTH APACHE POWDER ROAD|31.88|-110.24|672711.318|19995.1|9.5|652706.718|20015.924|
1006777|APEX ENVIRONMENTAL, LLC - SANITARY LANDFILL (0641000223)|AMSTERDAM|OH|43903|11 COUNTY ROAD 78|40.432403|-80.911512|395199|22|395177||22|
1004352|APEX REGIONAL LANDFILL|LAS VEGAS|NV|89165|13550 US HIGHWAY 93 NORTH|36.29423|-115.28183|55467.48|1178.5|54286|2.98|1182.48|
1005669|APPLETON ROARING SPRING PAPER MFG|ROARING SPRING|PA|16673|100 PAPER MILL RD.|40.33873|-78.405175|109959.458|104217.6|2025.5|3716.358|92643.88|
1002596|APPVION - APPLETON PLT|APPLETON|WI|54911|825 E WISCONSIN AVE|44.2729|-88.39311|31492.224|31446.5|19.5|26.224|31492.224|
1002434|APPVION, INC. WEST CARROLLTON|WEST CARROLLTON|OH|45449|1030 WEST ALEX BELL ROAD|39.652127|-84.186718|99788.09|98998.2|289.25|500.64|99788.09|
1001423|APS Saguaro Power Plant|RED ROCK|AZ|85245|MAIL POST 228|32.5517|-111.3|6348.328|6342.3|2.75|3.278|1310.596|5037.732
1001422|APS West Phoenix Power Plant|PHOENIX|AZ|85043|4606 WEST HADLEY|33.4417|-112.1583|779796.6|779002|362.5|432.1|167581.82|612214.78
1007510|AQUILA, INC. - AIRPORT INDUSTRIAL SITE|PUEBLO|CO|81001|475 WILLIAM M WHITE BLVD|38.2843|-104.533|173.748|173.2|0.25|0.298|173.748|
1000579|AQUILA, INC. - PUEBLO POWER PLANT|PUEBLO|CO|81003|105 S VICTORIA AVE|38.266407|-104.61289|407.898|407.6||0.298|407.898|
1005906|AR GLASS CONTAINER CORP|JONESBORO|AR|72401|516 WEST JOHNSON AVENUE|35.845862|-90.707271|34941.74|34911.6|13.75|16.39|29442.84|
1005055|ARAUCO-USA LLC|MONCURE|NC|27559|985 CORINTH ROAD|35.60067|-79.04634|8964.448|7120.2|719|1125.248|8964.448|
1003962|ARCELORMITTAL BURNS HARBOR LLC|BURNS HARBOR|IN|46304|250 W US 12|41.630556|-87.126944|6353265.042|6351323.4|592|1349.642|4826461.16|
1003668|ARCELORMITTAL PLATE LLC|COATESVILLE|PA|19320|139 MODENA RD|39.98301|-75.82791|220109.096|219971|63|75.096|133989.696|
1003523|ARCELORMITTAL PLATE LLC/CONSHOHOCKEN PLT|CONSHOHOCKEN|PA|19428|900 CONSHOHOCKEN RD|40.090954|-75.31707|53138.8|53084|25|29.8|53138.8|
1006325|ARCELORMITTAL RIVERDALE LLC|RIVERDALE|IL|60827|13500 S PERRY AVE|41.656474|-87.625847|140205.62|140154.3|24.5|26.82|51898.62|
1004215|ARCELORMITTAL STEELTON LLC/STEELTON|STEELTON|PA|17113|215 S FRONT ST|40.23258|-76.83645|223345.16|223252|42.5|50.66|90384.16|
1005385|ARCELORMITTAL TUBULAR PRODUCTS SHELBY LLC|SHELBY|OH|44875|132-140 W MAIN ST|40.88135|-82.66758|62354.912|62289.7|29.75|35.462|62354.912|
1003380|ARCELORMITTAL WARREN  (0278000648)|WARREN|OH|44481|2234 MAIN AVE SW|41.211242|-80.81682|107027.964|106917.8|37.75|72.414|91068.022|
1002916|ARCHER DANIEL MIDLAND COMPANY|COLUMBUS|NE|68601|3000 E 8TH STREET|41.42139|-97.288612|1042787.52|1036304|2389|4094.52|1042787.52|
1001945|ARCHER DANIELS MIDLAND|MARSHALL|MN|56258|400 WEST ERIE ROAD|44.474067|-95.783679|213512.098|212921|188.5|402.598|213512.098|
1003215|ARCHER DANIELS MIDLAND|FRANKFORT|IN|46041|2191 W CR 0 NS|40.2853|-86.5479|48851.416|48801|23|27.416|48851.416|
1005935|ARCHER DANIELS MIDLAND COMPANY|LINCOLN|NE|68507|7800 THAYER STREET|40.86667|-96.619116|171443.456|170290|424.25|729.206|171443.456|
1005940|ARCHER DANIELS MIDLAND PROCESSING|VELVA|ND|58790|1388 HIGHWAY 97|48.062189|-100.924361|38370.754|38331|18|21.754|38370.754|
1002795|ARCONIC INC - TENNESSEE OPERATIONS|ALCOA|TN|37701|2300 N WRIGHT RD|35.811815|-83.969576|200481.5|200267.3|95|119.2|200481.5|
1007937|ARCONIC INC DAVENPORT WORKS|BETTENDORF|IA|52722|4879 STATE STREET|41.53792|-90.46649|171716.882|171535.6|81.75|99.532|171716.882|
1002483|ARCONIC INC MASSENA OPERATIONS|MASSENA|NY|13662|45 COUNTY ROUTE 42|44.950425|-74.893685|320158.888|293267.4|39|46.488|82183.888|
1004649|ARCONIC INC. - LAFAYETTE OPERATIONS|LAFAYETTE|IN|47905|3131 E MAIN ST|40.395778|-86.859639|48464.1|48411.8|22.5|29.8|48464.1|
1003456|ARDEN LDFL|WASHINGTON|PA|15301|200 Rangos Lane|40.208427|-80.264771|40903.008|542.363618|40359.45775|1.186636|569.062004|
1006659|ARGOS CEMENT LLC. - ROBERTA PLANT|CALERA|AL|35040|8039 HIGHWAY 25|33.1043|-86.7985|658459.548|656185|858.75|1415.798|277534.548|
1007566|ARGOS USA -Martinsburg|MARTINSBURG|WV|25401|1826 SOUTH QUEEN STREET|39.443237|-77.968677|668871.546|666618.3|822.25|1430.996|113096.956|
1005866|ARIZONA CHEMICAL|DOVER|OH|44622|875 HARGER STREET|40.50632|-81.4743|28135.044|28106|13.25|15.794|28135.044|
1002442|ARIZONA CHEMICAL COMPANY|PANAMA CITY|FL|32401|2 EVERITT AVE., S. END|30.14578|-85.6212|71611.07|71534.6|34.75|41.72|71611.07|
1006199|ARIZONA STATE UNIVERSITY|TEMPE|AZ|85281|300 E. University Drive, Suite 320|33.42195|-111.935|44606.732|44560.7|21|25.032|44606.732|
1005801|ARK STEEL ASSOCIATES|NEWPORT|AR|72112|2803 VAN DYKE ROAD|35.648518|-91.244662|48243.452|48216.6|12.25|14.602|25801.252|
