Facility Id|Facility Name|City|State|Zip Code|Address|Latitude|Longitude|Total reported direct emissions|CO2 emissions (non-biogenic) |Methane (CH4) emissions |Nitrous Oxide (N2O) emissions |Stationary Combustion|Electricity Generation||||||||||||||||||||||||||||||||||||||
1005046|ACME GYPSUM FACILITY|QUANAH|TX|79252|4164 HIGHWAY 285|34.323944|-99.818194|37964.008|37925.1|17.75|21.158|37964.008|||||||||||||||||||||||||||||||||||||||
1002731|ADA COGENERATION|ADA|MI|49355|7575 FULTON STREET EAST|42.929287|-85.431127|126690.172|126559.2|59.75|71.222|126690.172|||||||||||||||||||||||||||||||||||||||
1003752|ADA Carbon Solutions (Red River), LLC|Coushatta|LA|71019|201 Red River Mine Road|32.005411|-93.387823|321029.94|321027.2|1.25|1.49|321029.94|||||||||||||||||||||||||||||||||||||||
1003422|ADKINS ENERGY LLC|LENA|IL|61048|4350 WEST GALENA ROAD|42.3586|-89.80342|93889.296|93792.3|44.25|52.746|93889.296|||||||||||||||||||||||||||||||||||||||
1002154|ADM - MANKATO|MANKATO|MN|56001|2019 3RD AVENUE|44.186805|-93.995493|106717.082|106155|209.25|352.832|106717.082|||||||||||||||||||||||||||||||||||||||
1006047|ADM CORN PROCESSING|CEDAR RAPIDS|IA|52404|1350 WACONIA AVENUE SOUTHWEST|41.9192|-91.6862|2839787.82|2821683.7|7505.75|10598.37|2838454.32|||||||||||||||||||||||||||||||||||||||
1006208|ADM CORN PROCESSING|CLINTON|IA|52732|1251 BEAVER CHANNEL PARKWAY|41.8196|-90.2122|2160740.234|2143652.6|6431.75|10655.884|2160560.234|||||||||||||||||||||||||||||||||||||||
1010610|ADM Deerfield|Deerfield|MO|64741|17700 South Highway T|37.80725|-94.585301|42746.838|42702.7|20|24.138|42746.838|||||||||||||||||||||||||||||||||||||||
1011855|ADM Fostoria|Fostoria|OH|44830|608 FINDLAY ROAD|41.1494|-83.43295|27102.548|27074.6|12.75|15.198|27102.548|||||||||||||||||||||||||||||||||||||||
1000376|ADM QUINCY|QUINCY|IL|62305|2100 GARDNER EXPRESSWAY|39.903884|-91.410552|96735.636|96635.9|45.5|54.236|96735.636|||||||||||||||||||||||||||||||||||||||
1006080|ADM SOUTHERN CELLULOSE PROD.IN|CHATTANOOGA|TN|37410|103 W 45TH ST|34.997921|-85.318581|21700.268|21677.8|10.25|12.218|21700.268|||||||||||||||||||||||||||||||||||||||
1000034|ADM SOYBEAN PROCESSING - DES MOINES|DES MOINES|IA|50313|1935 EAST EUCLID AVENUE|41.626329|-93.583205|151811.58|150758.8|386.75|666.03|151811.58|||||||||||||||||||||||||||||||||||||||
1014236|ADM Southport|Southport|NC|28461|1730 E Moore Street SE|33.94516|-78.00117|89098.308|89005.1|42.25|50.958|89098.308|||||||||||||||||||||||||||||||||||||||
1011961|ADM Valdosta|Valdosta|GA|31601|1841 Clay Road|30.8325|-83.248056|63147.99|63078.5|30.75|38.74|63147.99|||||||||||||||||||||||||||||||||||||||
1001991|ADRIAN LANDFILL|ADRIAN|MI|49221|1970 N OGDEN HWY|41.885177|-84.059029|6471.75||6471.75|||||||||||||||||||||||||||||||||||||||||
1001633|ADS-CEDAR HILL LANDFILL|RAGLAND|AL|35131|1319 NO BUSINESS CREEK ROAD|33.6845|-86.2525|24218.25||24218.25|||||||||||||||||||||||||||||||||||||||||
1001636|ADS-PECAN ROW-EVERGREEN LANDFILLS|VALDOSTA|GA|31601|2995 WETHERINGTON LANE|30.81425|-83.35981|118347||118347|||||||||||||||||||||||||||||||||||||||||
1006790|ADS-STAR RIDGE LANDFILL|MOODY|AL|35004|3301 ACMAR ROAD|33.607092|-86.507602|30115.25||30115.25|||||||||||||||||||||||||||||||||||||||||
1002094|ADS/MCLEAN COUNTY LANDFILL|BLOOMINGTON|IL|61704|2105 W OAKLAND AVE|40.465534|-89.03273|3525.5||3525.5|||||||||||||||||||||||||||||||||||||||||
1001845|ADVANCED DISPOSAL CRANBERRY CREEK LANDFILL LLC|WISCONSIN RAPIDS|WI|54495|2510 ENGEL ROAD|44.4093|-89.854855|21202.688|357.4|20843.5|1.788|359.938|||||||||||||||||||||||||||||||||||||||
1003038|ADVANCED DISPOSAL MAPLE HILL LANDFILL, LLC|MACON|MO|63552|31226 INTREPID ROAD|39.73376|-92.53825|31791.7|80.2|31711.5||80.2|||||||||||||||||||||||||||||||||||||||
1006979|ADVANCED DISPOSAL OAK RIDGE LANDFILL|BALWIN|MO|63021|1741 SULPHUR SPRING ROAD|38.556639|-90.527306|4912.25||4912.25|||||||||||||||||||||||||||||||||||||||||
1001637|ADVANCED DISPOSAL ORCHARD HILLS LANDFILL INC|DAVIS JUNCTION|IL|61020|8290 HIGHWAY 251|42.14|-89.085|132970.988|503.6|132443.25|24.138|537.738|||||||||||||||||||||||||||||||||||||||
1006963|ADVANCED DISPOSAL VALLEY VIEW LANDFILL INC|DECATUR|IL|62522|1363 BEAR RD|39.822266|-89.043754|38047.448|692.4|37354.75|0.298|692.948|||||||||||||||||||||||||||||||||||||||
1000627|ADVANSIX INC - CHESTERFIELD PLANT|CHESTER|VA|23836|4101 BERMUDA HUNDRED RD|37.336111|-77.2825|60013.56|59948.8|29|35.76|60013.56|||||||||||||||||||||||||||||||||||||||
1000630|ADVANSIX INCORPORATED - HOPEWELL|HOPEWELL|VA|23860|905 EAST RANDOLPH ROAD|37.1815|-77.1621|1163957.716|1163400.4|254.25|303.066|540243.116|||||||||||||||||||||||||||||||||||||||
1005310|AES - PUERTO RICO COGENERATION PLANT|GUAYAMA|PR|00785|KM 142, RTE. #3 BO. JOBOS|17.945|-66.15027|3474944.396|3451922.8|8419|14602.596|3474944.396|||||||||||||||||||||||||||||||||||||||
